,param,seasonal,AIC
146,"(2, 0, 3)","(1, 0, 3, 12)",20.0
147,"(2, 0, 3)","(1, 1, 1, 12)",-481.02233966813895
148,"(2, 0, 3)","(1, 1, 2, 12)",-419.72117621393363
149,"(2, 0, 3)","(1, 1, 3, 12)",-373.78316676223784
150,"(2, 0, 3)","(2, 0, 1, 12)",-476.2783660956804
151,"(2, 0, 3)","(2, 0, 2, 12)",-483.4103776384121
152,"(2, 0, 3)","(2, 0, 3, 12)",1724.0799022353485
153,"(2, 0, 3)","(2, 1, 1, 12)",-434.71081240634163
154,"(2, 0, 3)","(2, 1, 2, 12)",-419.5431289417297
155,"(2, 0, 3)","(2, 1, 3, 12)",-372.31438610885726
156,"(2, 0, 3)","(3, 0, 1, 12)",-425.97041177448875
157,"(2, 0, 3)","(3, 0, 2, 12)",-429.94235357217343
158,"(2, 0, 3)","(3, 0, 3, 12)",24.0
159,"(2, 0, 3)","(3, 1, 1, 12)",-387.5905698050587
160,"(2, 0, 3)","(3, 1, 2, 12)",-374.1027993900586
161,"(2, 0, 3)","(3, 1, 3, 12)",-356.4463776979176
162,"(2, 1, 1)","(1, 0, 1, 12)",-550.8138765312126
163,"(2, 1, 1)","(1, 0, 2, 12)",-481.04868795079904
164,"(2, 1, 1)","(1, 0, 3, 12)",1901.453769570012
165,"(2, 1, 1)","(1, 1, 1, 12)",192.27395685433055
166,"(2, 1, 1)","(1, 1, 2, 12)",176.20682119892078
167,"(2, 1, 1)","(1, 1, 3, 12)",129.39479186716756
168,"(2, 1, 1)","(2, 0, 1, 12)",-484.9745461626053
169,"(2, 1, 1)","(2, 0, 2, 12)",-494.81044517201457
170,"(2, 1, 1)","(2, 0, 3, 12)",4181.981780300759
171,"(2, 1, 1)","(2, 1, 1, 12)",159.70676140605931
172,"(2, 1, 1)","(2, 1, 2, 12)",166.64332281748625
173,"(2, 1, 1)","(2, 1, 3, 12)",129.55223806396185
174,"(2, 1, 1)","(3, 0, 1, 12)",-431.52084743621
175,"(2, 1, 1)","(3, 0, 2, 12)",-429.9298105040732
176,"(2, 1, 1)","(3, 0, 3, 12)",1845.995229357099
177,"(2, 1, 1)","(3, 1, 1, 12)",125.08933859323814
178,"(2, 1, 1)","(3, 1, 2, 12)",117.88954307259056
179,"(2, 1, 1)","(3, 1, 3, 12)",117.92839624937973
180,"(2, 1, 2)","(1, 0, 1, 12)",-542.7523531472845
181,"(2, 1, 2)","(1, 0, 2, 12)",-473.4044894454058
182,"(2, 1, 2)","(1, 0, 3, 12)",18.0
183,"(2, 1, 2)","(1, 1, 1, 12)",-484.2227390363769
184,"(2, 1, 2)","(1, 1, 2, 12)",-429.00545952968486
185,"(2, 1, 2)","(1, 1, 3, 12)",-372.2894684146361
186,"(2, 1, 2)","(2, 0, 1, 12)",-486.38471967731647
187,"(2, 1, 2)","(2, 0, 2, 12)",-488.81427263472136
188,"(2, 1, 2)","(2, 0, 3, 12)",20.0
189,"(2, 1, 2)","(2, 1, 1, 12)",-431.1684280202388
190,"(2, 1, 2)","(2, 1, 2, 12)",-425.66590186462224
191,"(2, 1, 2)","(2, 1, 3, 12)",-371.2229743809389
192,"(2, 1, 2)","(3, 0, 1, 12)",-428.9995277317804
193,"(2, 1, 2)","(3, 0, 2, 12)",-361.2798060582622
194,"(2, 1, 2)","(3, 0, 3, 12)",22.0
195,"(2, 1, 2)","(3, 1, 1, 12)",-382.92150051157137
196,"(2, 1, 2)","(3, 1, 2, 12)",-375.6397470719081
197,"(2, 1, 2)","(3, 1, 3, 12)",-374.30057203277477
198,"(2, 1, 3)","(1, 0, 1, 12)",-536.1069137130451
199,"(2, 1, 3)","(1, 0, 2, 12)",-480.0016376538932
200,"(2, 1, 3)","(1, 0, 3, 12)",2394.1861185731245
201,"(2, 1, 3)","(1, 1, 1, 12)",-488.1810472913945
202,"(2, 1, 3)","(1, 1, 2, 12)",-430.96347575464534
203,"(2, 1, 3)","(1, 1, 3, 12)",-370.4563983177335
204,"(2, 1, 3)","(2, 0, 1, 12)",-488.04658973231847
205,"(2, 1, 3)","(2, 0, 2, 12)",-497.91718158931224
206,"(2, 1, 3)","(2, 0, 3, 12)",2289.930142509883
207,"(2, 1, 3)","(2, 1, 1, 12)",-449.2375313680422
208,"(2, 1, 3)","(2, 1, 2, 12)",-433.2999506428693
209,"(2, 1, 3)","(2, 1, 3, 12)",-367.41381906909106
210,"(2, 1, 3)","(3, 0, 1, 12)",-447.3387720813972
211,"(2, 1, 3)","(3, 0, 2, 12)",-427.7406890838944
212,"(2, 1, 3)","(3, 0, 3, 12)",2380.013683696427
213,"(2, 1, 3)","(3, 1, 1, 12)",-403.4206599260257
214,"(2, 1, 3)","(3, 1, 2, 12)",-375.2615872542725
215,"(2, 1, 3)","(3, 1, 3, 12)",-375.1278902258116
216,"(3, 0, 1)","(1, 0, 1, 12)",-549.6873262529995
217,"(3, 0, 1)","(1, 0, 2, 12)",-487.79576545112826
218,"(3, 0, 1)","(1, 0, 3, 12)",2318.180823949228
219,"(3, 0, 1)","(1, 1, 1, 12)",-484.59176249153217
220,"(3, 0, 1)","(1, 1, 2, 12)",-415.30389631712563
221,"(3, 0, 1)","(1, 1, 3, 12)",-376.9727782094469
222,"(3, 0, 1)","(2, 0, 1, 12)",-488.73003170969116
223,"(3, 0, 1)","(2, 0, 2, 12)",-493.22218117070196
224,"(3, 0, 1)","(2, 0, 3, 12)",1707.0235952197354
225,"(3, 0, 1)","(2, 1, 1, 12)",-430.91140086176307
226,"(3, 0, 1)","(2, 1, 2, 12)",-425.8423296138426
227,"(3, 0, 1)","(2, 1, 3, 12)",-375.41643521198125
228,"(3, 0, 1)","(3, 0, 1, 12)",-429.717992713044
229,"(3, 0, 1)","(3, 0, 2, 12)",-430.7265252785635
230,"(3, 0, 1)","(3, 0, 3, 12)",2059.8895731951725
231,"(3, 0, 1)","(3, 1, 1, 12)",-383.9350128781843
232,"(3, 0, 1)","(3, 1, 2, 12)",-376.1620661457014
233,"(3, 0, 1)","(3, 1, 3, 12)",-388.30226762062296
234,"(3, 0, 2)","(1, 0, 1, 12)",-549.7149000370375
